JT,Escape,EscapeTime,Ejection,JT_Clone,Clone
58931,in,770700000.3121837,770700000.3121837,58931_Clone_5,clone-5
57915,in,613200000.1524442,613200000.1524442,57915_Clone_5,clone-5
63175,in,1804900000.138738,1804900000.138738,63175_Clone_5,clone-5
63923,in,1797600000.309829,1797600000.309829,63923_Clone_5,clone-5
63273,in,4205200000.3272953,4205200000.3272953,63273_Clone_5,clone-5
63286,in,3127800000.142866,3127800000.142866,63286_Clone_5,clone-5
63176,in,4464900000.233089,4464900000.233089,63176_Clone_5,clone-5
64326,out,674400000.0992836,675200000.3621888,64326_Clone_5,clone-5
58008,out,2469500000.286341,2469600000.121504,58008_Clone_5,clone-5
59355,in,1437900000.1280286,1437900000.1280286,59355_Clone_5,clone-5
64270,in,1810400000.1669106,1810400000.1669106,64270_Clone_5,clone-5
58475,in,3859700000.0672603,3859700000.0672603,58475_Clone_5,clone-5
77891,out,103100000.37820768,103400000.23387356,77891_Clone_5,clone-5
67065,in,264800000.0805052,264800000.0805052,67065_Clone_5,clone-5
82055,in,267400000.1476093,267400000.1476093,82055_Clone_5,clone-5
85030,in,209700000.36167592,209700000.36167592,85030_Clone_5,clone-5
65240,out,3078700000.0207663,3079200000.382782,65240_Clone_5,clone-5
65590,in,1241500000.0350287,1241500000.0350287,65590_Clone_5,clone-5
65281,out,1054400000.032801,1055000000.2299801,65281_Clone_5,clone-5
83978,in,2195300000.3268213,2195300000.3268213,83978_Clone_5,clone-5
76812,out,1628300000.2262394,1628500000.2919655,76812_Clone_5,clone-5
89836,out,1075500000.0474226,1075500000.0474226,89836_Clone_5,clone-5
77894,in,2307800000.327949,2307800000.327949,77894_Clone_5,clone-5
85798,out,1323500000.0956006,1323700000.1613266,85798_Clone_5,clone-5
76838,in,3772700000.3405313,3772700000.3405313,76838_Clone_5,clone-5
88775,in,1337900000.083092,1337900000.083092,88775_Clone_5,clone-5
68519,in,3546700000.0096436,3546700000.0096436,68519_Clone_5,clone-5
73677,in,4169500000.259456,4169500000.259456,73677_Clone_5,clone-5
76819,in,4119100000.303235,4119100000.303235,76819_Clone_5,clone-5
88229,in,2689000000.260425,2689200000.3261514,88229_Clone_5,clone-5
90380,in,344800000.12198675,344800000.12198675,90380_Clone_5,clone-5
98362,in,541600000.3464388,541700000.1816019,98362_Clone_5,clone-5
98361,in,2397800000.249772,2397800000.249772,98361_Clone_5,clone-5
99309,out,1717800000.1814466,1718000000.2471724,99309_Clone_5,clone-5
89927,in,522600000.03344285,522600000.03344285,89927_Clone_5,clone-5
97893,in,775300000.242288,775300000.242288,97893_Clone_5,clone-5
98143,out,3161600000.1794057,3161800000.2451324,98143_Clone_5,clone-5
90569,in,2994600000.2585692,2994600000.2585692,90569_Clone_5,clone-5
163240,in,30200000.0560458,30200000.0560458,163240_Clone_5,clone-5
99943,out,600400000.2953628,600600000.3610891,99943_Clone_5,clone-5
155332,in,2108200000.36953,2108200000.36953,155332_Clone_5,clone-5
163731,in,247600000.18406263,247600000.18406263,163731_Clone_5,clone-5
134419,in,123800000.30415192,123800000.30415192,134419_Clone_5,clone-5
114694,in,865200000.3289473,865200000.3289473,114694_Clone_5,clone-5
141584,in,117300000.13639164,117300000.13639164,141584_Clone_5,clone-5
155326,in,1687200000.0103266,1687200000.0103266,155326_Clone_5,clone-5
144840,in,526300000.2608789,526300000.2608789,144840_Clone_5,clone-5
156123,in,569800000.1242431,569800000.1242431,156123_Clone_5,clone-5
101612,in,1944200000.2483864,1944200000.2483864,101612_Clone_5,clone-5
156185,in,197100000.09730992,197100000.09730992,156185_Clone_5,clone-5
162388,in,2574900000.1288857,2574900000.1288857,162388_Clone_5,clone-5
116901,out,2217900000.2412896,2218500000.0430694,116901_Clone_5,clone-5
153464,out,2086400000.3225665,2086500000.1577294,153464_Clone_5,clone-5
150872,in,2910400000.2658076,2910400000.2658076,150872_Clone_5,clone-5
122733,out,1090800000.1329825,1091000000.1987088,122733_Clone_5,clone-5
103989,out,311200000.151173,311300000.38173616,103989_Clone_5,clone-5
106143,out,214300000.3891524,214500000.0293297,106143_Clone_5,clone-5
125045,out,905200000.030602,905300000.261165,125045_Clone_5,clone-5
151883,out,962500000.0796787,962900000.2111317,151883_Clone_5,clone-5
158601,in,1089800000.1997511,1089800000.1997511,158601_Clone_5,clone-5
105685,out,2060700000.3778405,2060800000.2130034,105685_Clone_5,clone-5
131451,in,2442300000.046368,2442300000.046368,131451_Clone_5,clone-5
156222,out,1316500000.1675804,1316500000.1675804,156222_Clone_5,clone-5
107804,out,2328400000.375956,2333900000.008728,107804_Clone_5,clone-5
153500,out,1174000000.1925118,1174200000.258238,153500_Clone_5,clone-5
99334,in,1426600000.1707938,1426600000.1707938,99334_Clone_5,clone-5
116567,in,1227900000.3104422,1227900000.3104422,116567_Clone_5,clone-5
163256,out,2291800000.210048,2291900000.045211,163256_Clone_5,clone-5
111771,in,3803200000.2810884,3803200000.2810884,111771_Clone_5,clone-5
130648,in,416100000.0271028,416100000.0271028,130648_Clone_5,clone-5
133566,in,1107400000.052663,1107400000.052663,133566_Clone_5,clone-5
129207,in,895000000.2371619,895000000.2371619,129207_Clone_5,clone-5
111736,in,3687100000.283087,3687100000.283087,111736_Clone_5,clone-5
