date,Name,vx,vx_s,vy,vy_s,vz,vz_s,x,x_s,y,y_s,z,z_s
 A.D. 2000-Jan-01 00:00:00.0000,432625,-0.008065145,2.07384558E-09,-0.000437209,4.51865523E-08,0.0008106487,6.2203956E-09,-0.3938734572,2.73341526E-05,4.7846873348,1.89373331E-06,0.6491808796999999,3.64570468E-06
 A.D. 2000-Jan-01 00:00:00.0000,432629,-0.007415800699999998,3.74301755E-09,0.0004491708,3.75695769E-08,0.0009800315,2.47899182E-09,0.1649451191,2.4784664E-05,5.2564737763,1.2397069E-06,0.3406482377,0.000003546
 A.D. 2000-Jan-01 00:00:00.0000,432636,-0.007679219799999999,3.29923755E-09,-0.0008351424,6.88017721E-08,-0.0011276402,4.83997308E-09,-0.4623480214,4.39481427E-05,5.0157218897,5.18044795E-06,-0.3780872493,6.57091081E-06
 A.D. 2000-Jan-01 00:00:00.0000,432637,-0.0066535511,1.90035823E-09,-0.0008148399,6.39129146E-09,0.0035951424,2.80121388E-09,0.1351448758,3.75756022E-06,4.9527044834,1.30414195E-06,1.3820429466,0.000002447
 A.D. 2000-Jan-01 00:00:00.0000,432639,-0.0080558271,2.09482677E-09,0.0001028246,4.72656965E-08,-0.0007971354,0.000000005,-0.1255018091,2.95117075E-05,4.8176948891,8.1431314E-07,0.4323549066,3.28221183E-06
 A.D. 2000-Jan-01 00:00:00.0000,432650,-0.0077511187,1.33623018E-09,-0.0001755494,7.45656123E-09,0.001623621,1.3180889E-09,-0.5145952782,4.70536324E-06,4.9174157559,7.80302552E-07,0.26117007940000003,1.65669164E-06
 A.D. 2000-Jan-01 00:00:00.0000,432652,-0.0079658856,1.87687483E-09,0.0007796683000000001,5.48570789E-09,0.00144191,2.11485216E-09,0.9209447606,3.12328416E-06,4.7029205179,1.15861887E-06,0.4993609254,1.85691979E-06
 A.D. 2000-Jan-01 00:00:00.0000,433269,-0.0079886568,4.20647389E-09,0.0008196786999999999,1.08752865E-08,0.0011213141,1.90942864E-09,0.4757939924,0.000006202,4.7766903805,3.47044628E-06,-0.5109532576,1.84448872E-06
 A.D. 2000-Jan-01 00:00:00.0000,433270,-0.0075469870999999985,4.20639523E-09,-0.0010084586,8.11947652E-09,0.0019489574,1.36468864E-09,-0.8287782646999999,5.63260397E-06,4.924932731499999,1.76306066E-06,-0.617943012,0.000001947
 A.D. 2000-Jan-01 00:00:00.0000,433271,-0.0076832836,3.35560874E-09,0.0016895339,1.01150421E-08,0.0002461637,1.92812147E-09,1.381414509,6.36049665E-06,4.74422148,2.17270333E-06,0.5767059903,0.00000135
 A.D. 2000-Jan-01 00:00:00.0000,433272,-0.0076467292000000015,2.84587184E-09,0.0003249664,1.17011002E-08,-0.0008046869000000001,2.2786808E-09,0.7880155987999999,7.39107926E-06,5.016514738,9.9386886E-07,-0.3962356859,1.5210611E-06
 A.D. 2000-Jan-01 00:00:00.0000,433273,-0.0062835712,2.94103859E-09,0.0002057724,7.18676237E-09,0.0039751901,0.000000002,-0.1613392069,4.07672491E-06,5.1958098056,2.29144658E-06,-0.8760681845999999,2.5768903E-06
 A.D. 2000-Jan-01 00:00:00.0000,433274,-0.0072154123,1.77494703E-09,8.549170564335459e-05,6.6407835E-09,0.0018661972,1.13258891E-09,0.2116121116,4.20360366E-06,5.2540542276,1.39936951E-06,-0.535600461,1.41532802E-06
 A.D. 2000-Jan-01 00:00:00.0000,433275,-0.0072851819,0.000000003,-0.0014209466,2.23599799E-08,-0.0007920866,1.31262314E-09,-1.0346874441,1.47533743E-05,5.184804801399999,3.33293908E-06,0.1126901591,0.000001938
 A.D. 2000-Jan-01 00:00:00.0000,433276,-0.0071773918,2.29747351E-09,0.0004162534,1.22289429E-08,0.0022651760000000003,2.61778757E-09,-0.1510826043,7.27775887E-06,5.0769920212,0.000001807,-0.8748807174,2.65481675E-06
 A.D. 2000-Jan-01 00:00:00.0000,433277,-0.0074805686,2.26782066E-09,0.0015870984,9.26586265E-09,0.0007190019999999999,1.8438935E-09,0.7914336693,6.00733941E-06,5.0004859475,1.61320305E-06,-0.5841274922,1.37720701E-06
 A.D. 2000-Jan-01 00:00:00.0000,433278,-0.007555888599999999,2.44467641E-09,0.00035521120000000004,6.33728467E-09,-4.34143936122706e-05,1.64173191E-09,0.8472025976,3.82709334E-06,5.1284569548,2.08073276E-06,-0.2529561181,1.8002473E-06
 A.D. 2000-Jan-01 00:00:00.0000,433279,-0.0071129733,0.000000004,-0.0022461801,1.57598765E-08,0.0004550105,2.73193553E-09,-1.6564458699000002,1.04963088E-05,4.9711389475,3.75562799E-06,-0.7813316501,1.38444043E-06
 A.D. 2000-Jan-01 00:00:00.0000,433280,-0.0071830675,1.66566199E-09,0.0005552069,5.40081861E-09,0.0014562178,1.31199655E-09,0.3974323944,3.51056632E-06,5.2538133888,1.55622458E-06,-0.7754918390000001,1.39574414E-06
 A.D. 2000-Jan-01 00:00:00.0000,433281,-0.0082808879,4.87968505E-09,0.001026531,2.52694885E-08,0.0006066095,3.50324289E-09,0.7119110476999999,1.47353449E-05,4.5645761160000005,2.1260887E-06,-0.5682117743999999,1.49929537E-06
 A.D. 2000-Jan-01 00:00:00.0000,433282,-0.0077810621,1.77071397E-09,-0.0004554629,5.08260295E-08,-0.0010272713,4.0744276E-09,-0.2304579956,3.2686099E-05,4.9944316263,2.81133505E-06,0.320058654,4.54026034E-06
 A.D. 2000-Jan-01 00:00:00.0000,433283,-0.0076514355,5.76637282E-09,0.0016889419,2.15836958E-08,0.0009857866,1.69462116E-09,1.1282141185,0.000013085,4.8341175871,3.03693343E-06,-0.1414373947,1.89739939E-06
 A.D. 2000-Jan-01 00:00:00.0000,433284,-0.007856317199999999,1.55254485E-09,-0.0001660627,1.03593813E-08,0.0002677486,1.82868267E-09,-0.0550224225,6.5914288E-06,5.0110104503,9.77736452E-07,0.2340781573,1.31868008E-06
 A.D. 2000-Jan-01 00:00:00.0000,433285,-0.0077324141,2.65545228E-09,0.00064587,7.26769696E-09,0.0011471859,1.3191373E-09,0.4785455999,4.24685362E-06,4.9610753526,0.000002289,-0.473656832,1.28032144E-06
 A.D. 2000-Jan-01 00:00:00.0000,433286,-0.007217566099999999,4.06565548E-09,0.0002343195,0.000000025,-0.0006774288,1.74561672E-09,0.5422361311,1.67523674E-05,5.3715004208,1.01383848E-06,-0.2944361229,2.07313076E-06
 A.D. 2000-Jan-01 00:00:00.0000,433287,-0.0074567763,2.51796498E-09,0.0015688434,9.20320219E-09,-0.0008186002999999999,1.33439588E-09,0.8064260098999999,0.000005938,5.0458511691000005,1.19136343E-06,0.0487315036,0.000001406
 A.D. 2000-Jan-01 00:00:00.0000,433288,-0.0081504825,6.24299469E-09,0.0006963774,4.36839744E-08,0.0010166653,1.75704059E-09,0.4651758769,2.61706394E-05,4.7267018408,2.10905577E-06,0.0621510475,3.39090983E-06
 A.D. 2000-Jan-01 00:00:00.0000,433289,-0.0079075695,2.85271567E-09,-0.0004049445,7.16492903E-08,0.0011695809,1.66617977E-09,-0.2767886472,4.35947042E-05,4.9097222531,1.90030469E-06,0.0833945932,6.58228877E-06
 A.D. 2000-Jan-01 00:00:00.0000,433290,-0.0067157226,1.50678813E-09,0.0008345447,0.000000013,0.003664262,2.88400881E-09,0.1382080791,7.04142839E-06,4.9214352185,1.97520121E-06,-1.0981173318000002,3.70870101E-06
 A.D. 2000-Jan-01 00:00:00.0000,433291,-0.007731124,1.4315489E-08,-0.0018560263,5.24374807E-08,0.0009832775,0.000000004,-1.5230227506,3.25334191E-05,4.6555220512,8.07424303E-06,-0.2932337005,4.41024274E-06
 A.D. 2000-Jan-01 00:00:00.0000,433292,-0.0080731677,2.68132685E-09,-0.0020226055,1.06292698E-08,0.0010349726,2.38437092E-09,-1.0023093405,0.000006261,4.5467138544,1.76167079E-06,-0.0885052306,1.79583236E-06
 A.D. 2000-Jan-01 00:00:00.0000,433293,-0.0071376645,2.09647084E-09,-0.0012707039,7.80005141E-09,0.0010118402,1.8667349E-09,-0.9158392996,5.18618336E-06,5.2436980947,1.23390105E-06,0.1201055805,1.98853673E-06
 A.D. 2000-Jan-01 00:00:00.0000,433294,-0.0072528403,2.09134264E-09,-0.0019743535,7.37432116E-09,-0.0001310151,1.32572782E-09,-1.0299341068,4.75837626E-06,5.0748647329,1.43234326E-06,-0.5803553724,9.68886564E-07
 A.D. 2000-Jan-01 00:00:00.0000,433295,-0.007789243100000002,3.06737346E-09,0.0007235747,2.38495736E-08,-0.0008447546000000001,1.94812162E-09,0.16986149829999994,1.48613319E-05,4.9591836568000005,0.000000982,0.148864385,2.14673467E-06
 A.D. 2000-Jan-01 00:00:00.0000,433296,-0.0078682348,5.8533695E-09,-0.0001011309,8.43658774E-08,0.0009620891,9.09185392E-09,0.1202194044,5.11904415E-05,4.8833096361,1.28392684E-06,0.5455336282,6.53905973E-06
 A.D. 2000-Jan-01 00:00:00.0000,433297,-0.0075595702,5.22926213E-08,-0.0026966086,1.52777421E-07,0.0012060191,4.28768482E-09,-1.8174976306,9.36098605E-05,4.4892815238,3.48820748E-05,0.1637494143,1.492843E-05
 A.D. 2000-Jan-01 00:00:00.0000,433298,-0.0081811724,5.69285725E-09,-0.000574349,5.74345441E-08,0.0014305341,7.59129491E-09,-0.5616993924,3.30742327E-05,4.6055513069,2.11552754E-06,0.6187855804,5.94921353E-06
 A.D. 2000-Jan-01 00:00:00.0000,433670,-0.0070569072,3.18058237E-09,-0.0009281558,6.24560114E-09,0.0014625409,1.27511228E-09,-1.0188624715,4.64144163E-06,5.2327610267,1.37524287E-06,-0.9328648912,1.38646766E-06
 A.D. 2000-Jan-01 00:00:00.0000,433671,-0.0074343765,1.23289876E-09,0.0011369173,4.79907346E-09,0.0008892635,1.75123054E-09,0.8031703249,3.04862942E-06,5.0669028779000005,1.19433719E-06,-0.4916994334000001,0.000001385
 A.D. 2000-Jan-01 00:00:00.0000,433672,-0.0076212645,7.34606005E-09,0.0017017172,3.3101631E-08,0.0008298676,1.56159292E-09,0.9353204928,1.98098874E-05,4.8777468105,4.66987097E-06,-0.0175076335,2.38049694E-06
 A.D. 2000-Jan-01 00:00:00.0000,433674,-0.0079889687,2.27607603E-09,0.0011977891,9.62708332E-09,0.0002091109,1.90294883E-09,0.8084861119,5.93879518E-06,4.6885289595,0.000001097,-0.6767043415999999,1.50232854E-06
 A.D. 2000-Jan-01 00:00:00.0000,433675,-0.007486908299999998,1.88878518E-09,-0.0006693975,9.36583852E-09,0.000984045,2.19518141E-09,-0.9838810554,6.2558026E-06,4.9876002746,1.17194793E-06,-0.8883745747,1.69249743E-06
 A.D. 2000-Jan-01 00:00:00.0000,433676,-0.0083025136,3.81263049E-09,0.0007007995,2.04095486E-08,0.0001510391,2.63145801E-09,0.6956474635,1.19795748E-05,4.602432880299999,1.21873221E-06,-0.487732186,1.11117199E-06
 A.D. 2000-Jan-01 00:00:00.0000,433677,-0.0078097072,1.60396316E-09,-0.0012649559,7.59949799E-09,0.0006048745,1.62983363E-09,-1.0379374287,5.08074213E-06,4.7867838069,0.00000103,-0.6830677944,1.47276589E-06
 A.D. 2000-Jan-01 00:00:00.0000,433679,-0.007587621899999998,1.66658023E-09,-0.00016723029999999998,5.64157812E-09,0.0001847568,1.58547213E-09,0.1782718749,4.01188068E-06,5.1137946987000005,1.10014002E-06,0.4138220228,2.06855802E-06
 A.D. 2000-Jan-01 00:00:00.0000,433681,-0.0075282288,1.12525787E-08,-0.0005695784,7.92864429E-08,0.0011247281,3.49164457E-09,-0.6325398909000001,4.78405593E-05,5.0243323543,1.44323806E-06,0.1782745805,0.000007397
 A.D. 2000-Jan-01 00:00:00.0000,433989,-0.0071027788,3.59149737E-09,-0.0031278423,0.000000005,-0.001848508,1.59084708E-09,-2.2499610685,3.08823543E-06,4.3666844185,1.90143372E-06,0.1395982456,1.35452305E-06
 A.D. 2000-Jan-01 00:00:00.0000,435229,-0.0051224704,1.57860081E-08,-0.0051816237,1.85579156E-08,0.0005881212999999999,3.36447069E-09,-3.9448642147,1.1926158E-05,3.6232566275,1.3615258E-05,-0.5642375304,2.29245384E-06
 A.D. 2000-Jan-01 00:00:00.0000,435560,-0.0072658757,2.5021266E-09,-0.0022087221,8.91254578E-09,-0.0005971765,2.51745744E-09,-1.5781748402000002,5.9112435E-06,4.8483140283,2.10565886E-06,0.5808835133,0.000002558
 A.D. 2000-Jan-01 00:00:00.0000,435567,-0.008611327,1.63450575E-08,-0.001710524,9.94811635E-08,-0.0017028826000000002,1.12183743E-08,-1.0039280458,5.42205261E-05,4.1857748099,1.33469136E-05,0.3864057533,0.000011102
 A.D. 2000-Jan-01 00:00:00.0000,435568,-0.0078906412,2.11079607E-09,0.0006678009,1.44799001E-08,-0.0007392646000000001,3.15707232E-09,0.306690903,8.71573141E-06,4.8108879696,0.000000762,-0.9043809833,1.38225513E-06
 A.D. 2000-Jan-01 00:00:00.0000,435573,-0.0075009894999999984,4.51816904E-09,0.0008029959,0.000000022,-0.0003682527,3.13907375E-09,0.4930836897,1.49710593E-05,5.161018594,1.03077757E-06,-0.6162370993999999,0.000001996
 A.D. 2000-Jan-01 00:00:00.0000,435582,-0.007652605,1.44836356E-09,-0.0015438509,6.49313183E-09,0.0002953407,2.93739664E-09,-1.1196764765,4.76288349E-06,4.5623778571,1.46159611E-06,-1.8273623615,1.63287416E-06
 A.D. 2000-Jan-01 00:00:00.0000,435583,-0.0072880849,1.67925672E-09,-0.0012781833,2.51599764E-08,-0.0003145483,4.46275597E-09,-0.5839471885,1.66723166E-05,5.21092066,3.33557155E-06,-0.8833889404999999,1.78018212E-06
 A.D. 2000-Jan-01 00:00:00.0000,435613,-0.006391438199999999,2.54410826E-09,-0.0026761778000000003,5.65623959E-09,-4.591919462074071e-05,0.000000002,-2.6667131088,4.2493245E-06,4.8432166006,2.02945847E-06,1.2655609811,1.52711332E-06
 A.D. 2000-Jan-01 00:00:00.0000,435620,-0.0065088047,1.95241207E-08,-0.0041636344,0.000000031,-0.0001872946,1.06091514E-08,-2.9438947161,2.18696268E-05,3.9197011645,1.49197645E-05,-1.4203168441,2.22140435E-06
 A.D. 2000-Jan-01 00:00:00.0000,435632,-0.0065189937,1.89344429E-08,-0.003769024,3.22813993E-08,0.0002791734,5.38063273E-09,-2.9316062977,2.21220942E-05,4.2426768036,1.33864351E-05,0.7335774722,1.7283498E-06
 A.D. 2000-Jan-01 00:00:00.0000,435645,-0.0060695618000000005,2.70251408E-09,-0.003343188,4.26770226E-09,-2.47651576204168e-05,1.93873204E-09,-3.2912356558,4.04875111E-06,4.5386616808,0.000002366,-0.5475853801,2.66614665E-06
 A.D. 2000-Jan-01 00:00:00.0000,435647,-0.0077902527,1.78784884E-09,-0.0018236882,1.11183457E-08,-0.0005877344,1.86414669E-09,-1.0164356039,6.74109996E-06,4.7209908311,2.0464477E-06,-0.5587292429999999,0.000001218
 A.D. 2000-Jan-01 00:00:00.0000,435652,-0.0061686593000000005,2.59061316E-08,-0.0044882194,0.000000036,-3.50124589897097e-05,9.29237001E-09,-3.2563532215,2.43983593E-05,3.8367928572,0.000018772,1.0333970258,2.82683977E-06
 A.D. 2000-Jan-01 00:00:00.0000,435658,-0.0068664079000000005,1.34167535E-08,-0.0034523387,2.7855639E-08,0.0001643836,2.11890929E-09,-2.5751334105000003,1.86939107E-05,4.4092139848,1.01539045E-05,0.2731013552,1.62905908E-06
 A.D. 2000-Jan-01 00:00:00.0000,435659,-0.007416222199999998,9.5228494E-09,-0.0017734733,4.77146505E-08,0.000103,9.47168482E-09,-1.4016880672999998,0.000031213,4.8406030707,0.000008579,-0.9619006736,1.87356105E-06
 A.D. 2000-Jan-01 00:00:00.0000,435660,-0.0065926946,0.000000022,-0.004354315300000001,3.78201959E-08,8.91378195636162e-05,1.52951085E-08,-2.6532050539,2.39868043E-05,3.8488861865,1.67705769E-05,-1.6137121722,2.75675227E-06
 A.D. 2000-Jan-01 00:00:00.0000,435733,-0.0073709865,1.82839611E-09,-0.0027404883,0.000000005,-0.0004471502,2.36692826E-09,-1.4262747035,3.44778105E-06,4.485615172799999,1.55161107E-06,-1.5461279903,2.10255714E-06
