date,Name,vx,vx_s,vy,vy_s,vz,vz_s,x,x_s,y,y_s,z,z_s
 A.D. 2000-Jan-01 00:00:00.0000,389317,-0.007642709799999999,1.17825279E-09,0.0011238462,5.59260077E-09,-0.000814461,1.09849311E-09,0.45972330409999995,3.57714077E-06,5.025712711000001,7.10291782E-07,-0.1493606068,1.17935556E-06
 A.D. 2000-Jan-01 00:00:00.0000,389318,-0.0081729353,1.92844891E-09,-0.0003794811,4.63967619E-08,-0.0008788839999999999,1.49320211E-09,-0.4154451703,2.81951941E-05,4.7678036945999995,1.94409374E-06,-0.1153533005,0.000003249
 A.D. 2000-Jan-01 00:00:00.0000,389323,-0.008160768,5.37042E-09,0.0008828377,4.41241468E-08,0.0007002053,5.50930084E-09,0.330301213,2.57960987E-05,4.6719883686,2.72118294E-06,0.543301622,0.000002828
 A.D. 2000-Jan-01 00:00:00.0000,389327,-0.0076539361,0.000000003,0.0009510094,2.04523885E-08,-6.95752020172397e-05,0.000000003,0.3301087929,1.27243859E-05,5.0121020809,1.34936881E-06,0.6063799857,1.71837607E-06
 A.D. 2000-Jan-01 00:00:00.0000,389332,-0.008002826999999999,2.3424079E-09,0.0012011192,9.69283066E-09,0.0011663536,2.23535362E-09,0.8062733964,5.89339393E-06,4.6658702051,1.21924863E-06,0.20488348739999998,2.00235564E-06
 A.D. 2000-Jan-01 00:00:00.0000,389560,-0.008220715,2.6132137E-08,0.0009504767,1.50669484E-07,2.9753813816063697e-05,1.84219898E-08,0.5793692109,9.38816117E-05,4.6289579557,9.74715966E-06,0.5563277853,2.27905024E-06
 A.D. 2000-Jan-01 00:00:00.0000,389823,-0.0070755496999999985,2.38839835E-09,-0.0025161415,5.64249681E-09,0.0011343474,0.000000001,-1.6615399939,3.64644273E-06,4.8659232282,1.32755825E-06,0.06897643490000001,0.000001219
 A.D. 2000-Jan-01 00:00:00.0000,389824,-0.006937640300000001,2.35429109E-08,-0.002959765,4.78795402E-08,0.0010419072,2.71117193E-09,-2.4120177079,3.21045655E-05,4.574385113,1.28743196E-05,-0.2113933509,4.81449792E-06
 A.D. 2000-Jan-01 00:00:00.0000,390322,-0.0073428730000000015,1.73078742E-09,0.0013797132000000001,0.000000006,0.0009358217,1.34081895E-09,1.0809072009,3.97618129E-06,5.09643671,1.09176954E-06,0.3509206546,1.05749492E-06
 A.D. 2000-Jan-01 00:00:00.0000,390344,-0.007286744300000002,8.21567894E-09,-0.0017020459,4.86679947E-08,-0.0006423868000000001,4.84728033E-09,-1.278324737,3.34235586E-05,5.0205978543,8.90769128E-06,0.36375429439999996,4.00111302E-06
 A.D. 2000-Jan-01 00:00:00.0000,390347,-0.0070209242000000005,8.0505167E-09,-0.0028703726,1.91902664E-08,0.0009517625,2.22208442E-09,-2.3655319941,1.30301896E-05,4.5756820472,5.90711435E-06,-0.3483541832,2.24728671E-06
 A.D. 2000-Jan-01 00:00:00.0000,390349,-0.0082027674,1.31141336E-09,-6.91427017078222e-05,1.00577296E-08,0.0012660425,1.6894807E-09,-0.1317069907,5.7364872E-06,4.66331752,7.73168121E-07,-0.09810104039999999,1.35822852E-06
 A.D. 2000-Jan-01 00:00:00.0000,390352,-0.0076426391,4.12591749E-09,-0.0030816235999999997,9.82390891E-09,0.0007622202,2.57913192E-09,-1.8602112713999999,6.04710781E-06,4.2887236692,0.00000252,-0.4662725038,2.11774031E-06
 A.D. 2000-Jan-01 00:00:00.0000,390358,-0.0072842344999999985,3.16769942E-09,-0.0031977851,6.5160041E-09,-0.00083418,2.30354345E-09,-2.3222896113,0.000004159,4.3548727601,2.10844964E-06,0.0427440794,1.37727916E-06
 A.D. 2000-Jan-01 00:00:00.0000,390362,-0.0070060335,2.54046152E-09,-0.0028020665999999995,7.42633538E-09,0.0004496711,1.52145158E-09,-1.9368391312,4.72115342E-06,4.7933553123,2.10839895E-06,-0.6033029375,1.02254761E-06
 A.D. 2000-Jan-01 00:00:00.0000,391792,-0.0070114437,4.44021075E-09,-0.00242093,1.63369089E-08,0.00042560879999999996,2.49482945E-09,-1.8325694906999999,1.07687794E-05,4.9479446237,4.28061786E-06,-0.6423859066,0.000001479
 A.D. 2000-Jan-01 00:00:00.0000,392206,-0.0078414218,2.46512151E-09,-0.0016098797,1.0738428E-08,0.0001820005,2.30932453E-09,-1.3200539649,6.93615944E-06,4.7097591130000005,0.00000173,-0.6325913474,1.76871119E-06
